uri,dc.identifier,notation,prefLabel,definition,exactMatch,closeMatch,inScheme,topConceptOf
concept:pl,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.pl,PL,plantenresten,Afgestorven plantaardig materiaal.,,http://inspire.ec.europa.eu/codelist/LithologyValue/organicRichSedimentaryMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:pm,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.pm,PM,puimsteen,Vulkanisch gesteente met hoge porositeit.,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pumice,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ps,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ps,PS,psammiet,"Zandsteen, als protoliet van een metamorf gesteente.",,http://inspire.ec.europa.eu/codelist/LithologyValue/sandstone,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:pu,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.pu,PU,puin,"Fragmenten van allerlei stenen, bakstenen, afval die voorkomen in een matrix van ander materiaal.",,http://inspire.ec.europa.eu/codelist/AnthropogenicGeomorphologicFeatureTypeValue/dump,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:py,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.py,PY,pyriet,Goudkleurig kubisch ijzersulfide mineraal. ,http://inspire.ec.europa.eu/codelist/CommodityCodeValue/pyrite,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:qu,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.qu,QU,kwarts,"Mineraal bestaande uit siliciumdioxide, meestal het hoofdbestanddeel van zand.",http://inspire.ec.europa.eu/codelist/CommodityCodeValue/quartz,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:ro,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.ro,RO,rots,Hard gesteente.,http://inspire.ec.europa.eu/codelist/LithologyValue/rock,,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:rv,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.rv,RV,verweerde rots,Rots die deels verbrokkeld en/of omgezet is door processen van fysische en/of chemische verwering.,,http://inspire.ec.europa.eu/codelist/LithologyValue/residualMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sc,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sc,SC,schelpen,Een uit kalk of andere mineralen bestaand uitwendig skelet van weekdieren.,,http://inspire.ec.europa.eu/codelist/LithologyValue/carbonateSedimentaryMaterial,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
concept:sd,be.vlaanderen.bodemenondergrond.data.id.concept.hoofdnaam.sd,SD,sideriet,IJzercarbonaatmineraal.,,http://inspire.ec.europa.eu/codelist/LithologyValue/ironRichSediment,conceptscheme:hoofdnaam,conceptscheme:hoofdnaam
